
  Tool                                              Description
  ────────────────────────────────────────────────────────────────────────────────────────────────────
  start_google_auth                                 Manually initiate Google OAuth authentication flow.
  start_gmail_auth                                  Start OAuth flow for Gmail scopes.
  exchange_gmail_connector_code                     Exchange and store a Gmail OAuth code from the Phoenix PC local callback.
  start_twitter_auth                                Authorize a user's X (Twitter) account for the current workspace.
  list_all_authorizations                           List all connected (authorized) connectors for the current user.
  start_github_auth                                 Start GitHub OAuth authorization flow.
  exchange_github_connector_code                    Exchange and store a GitHub OAuth code from the Phoenix PC local callback.
  manage_github_org_access                          Manage GitHub organization access for the connected OAuth App.
  start_linkedin_auth                               Start LinkedIn OAuth authorization flow.
  start_notion_auth                                 发起 Notion OAuth 2.0 授权流程。
  set_notion_token                                  Set or update Notion Integration Token for a user.
  check_notion_token                                Check the status of a user's Notion Integration Token.
  delete_notion_token                               Delete a user's Notion Integration Token.
  list_notion_token_users                           List all users with stored Notion Integration Tokens.
  search_notion_workspace                           Search pages and databases in the user's Notion workspace.
  get_notion_page_content                           Retrieve a Notion page's properties and (optionally) its content blocks.
  create_notion_page                                Create a new page (note) in the user's Notion workspace.
  update_notion_page_properties                     Update properties of an existing Notion page.
  append_notion_blocks                              Append new content blocks to a Notion page or block.
  delete_notion_block                               Delete (archive) a block from a Notion page.
  get_notion_database                               Retrieve a Notion database's schema (title, properties and their types).
  query_notion_database                             Query a Notion database with optional filters and sorts.
  add_notion_comment                                Add a comment to a Notion page and optionally read existing comments.
  get_notion_comments                               Retrieve all comments on a Notion page.
  list_notion_users                                 List users in the Notion workspace.
  start_vercel_auth                                 Start Vercel OAuth authorization flow.
  exchange_vercel_connector_code                    Exchange and store a Vercel OAuth code from the Phoenix PC local callback.
  get_vercel_user_profile                           Return the connected Vercel account profile (id, email, name, username).
  list_vercel_projects                              List Vercel projects accessible by the connected account.
  get_vercel_project                                Get full Vercel project detail (env count, framework, latest deployment summary)
  list_vercel_deployments                           List recent Vercel deployments (filterable by project / state / target).
  get_vercel_deployment                             Get a single Vercel deployment's full detail (state, build duration, alias, erro
  get_vercel_deployment_logs                        Fetch build/runtime log events for a Vercel deployment.
  set_higgsfield_credentials                        Set or update Higgsfield API credentials for a user.
  check_higgsfield_credentials                      Check the status of a user's Higgsfield API credentials.
  delete_higgsfield_credentials                     Delete the current accio_id's Higgsfield API credentials.
  generate_higgsfield_image                         Generate an image using the Higgsfield AI API.
  generate_higgsfield_video                         Generate a video using the Higgsfield AI API.
  get_higgsfield_generation_status                  Get the status of a Higgsfield generation request.
  cancel_higgsfield_generation                      Cancel a queued Higgsfield generation request.
  set_klaviyo_credentials                           Set, update, or disconnect the Klaviyo API key for the current workspace.
  check_klaviyo_credentials                         Check the status of the Klaviyo API credential for the current workspace.
  delete_klaviyo_credentials                        Delete the current workspace's Klaviyo API credential.
  klaviyo_get_accounts                              Retrieve all Klaviyo accounts accessible with the current API key.
  klaviyo_get_tracking_settings                     Retrieve Klaviyo tracking settings for the account.
  klaviyo_get_account                               Retrieve a single Klaviyo account by ID.
  klaviyo_update_tracking_setting                   Update a Klaviyo tracking setting.
  klaviyo_get_profiles                              List Klaviyo profiles (contacts) with optional email filter.
  klaviyo_create_or_update_profile                  Create or update a Klaviyo profile (contact). Uses upsert semantics — if a
  klaviyo_get_lists                                 List all Klaviyo lists.
  klaviyo_create_list                               Create a new Klaviyo list.
  klaviyo_add_profiles_to_list                      Add one or more profiles to a Klaviyo list by profile ID.
  klaviyo_get_segments                              List all Klaviyo segments.
  klaviyo_subscribe_profiles                        Subscribe one or more profiles to a Klaviyo list (with double opt-in
  klaviyo_unsubscribe_profiles                      Unsubscribe one or more profiles from a Klaviyo list.
  klaviyo_get_tags                                  List all Klaviyo tags.
  klaviyo_create_tag                                Create a new tag in Klaviyo.
  klaviyo_get_profile                               Retrieve a single Klaviyo profile by ID.
  klaviyo_update_profile                            Update an existing Klaviyo profile.
  klaviyo_get_list                                  Retrieve a single Klaviyo list by ID.
  klaviyo_update_list                               Update (rename) a Klaviyo list.
  klaviyo_delete_list                               Delete a Klaviyo list.
  klaviyo_remove_profiles_from_list                 Remove one or more profiles from a Klaviyo list.
  klaviyo_get_segment                               Retrieve a single Klaviyo segment by ID.
  klaviyo_update_segment                            Update (rename) a Klaviyo segment.
  klaviyo_delete_segment                            Delete a Klaviyo segment.
  klaviyo_get_tag                                   Retrieve a single Klaviyo tag by ID.
  klaviyo_update_tag                                Update (rename) a Klaviyo tag.
  klaviyo_delete_tag                                Delete a Klaviyo tag.
  klaviyo_get_tag_groups                            List all Klaviyo tag groups.
  klaviyo_create_tag_group                          Create a new tag group in Klaviyo.
  klaviyo_bulk_import_profiles                      Bulk import profiles into Klaviyo.
  klaviyo_merge_profiles                            Merge two Klaviyo profiles into one.
  klaviyo_create_segment                            Create a new Klaviyo segment.
  klaviyo_get_profile_lists                         Retrieve all lists a profile is a member of.
  klaviyo_get_profile_segments                      Retrieve all segments a profile is included in.
  klaviyo_suppress_profiles                         Suppress one or more profiles by email (mark them as do-not-email).
  klaviyo_unsuppress_profiles                       Unsuppress (re-enable email sending to) one or more profiles by email.
  klaviyo_get_list_profiles                         Retrieve profiles (members) of a Klaviyo list.
  klaviyo_get_segment_profiles                      Retrieve profiles (members) of a Klaviyo segment.
  klaviyo_delete_profile                            Request permanent deletion of a Klaviyo profile via the Data Privacy API.
